mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,n_blank,pval,qval
305.25166664586453,6520055.0,6167096.5,4211506.0,5928390.0,nan,6454056.5,6105551.5,5267949.5,4464430.5,2600243.0,5177081.5,5019098.0,4521845.0,nan,1946670.0,4408195.5,3285852.5,2291635.25,2938153.75,nan,nan,nan,9,0.00055220096097897942,0.068121518549861371
143.10684913972048,1109544.75,1031866.4375,660477.4375,881494.0,697079.5,796088.375,766585.1875,805371.9375,747361.6875,905330.8125,737731.5625,824230.0625,805871.875,383233.09375,586608.0625,813841.5,679300.0,585063.1875,815709.25,365893.1875,461637.5,454704.625,8,0.00064097569440141723,0.072483668108560259
230.9904075038923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132392.015625,329034.03125,251931.8125,nan,542192.875,488063.46875,426185.8125,0,0.00065019024112260228,0.067869858246413173
288.2251761047383,2550808.5,2735241.0,1688055.0,2566267.0,2191094.75,2457403.25,2706433.5,2420403.5,1849171.0,1919849.125,2940686.5,2843129.0,2281508.0,929854.0,1280307.5,2515763.0,2205136.75,1669199.75,1962389.5,1242765.625,1401350.25,1419413.5,10,0.00068838629760030478,0.066724300417400975
227.16432137615683,211360.296875,273974.875,175245.375,371714.75,231681.125,334969.84375,257689.359375,219220.5625,nan,nan,231344.890625,236066.78125,184330.15625,nan,nan,207871.6875,nan,152603.1875,nan,nan,nan,nan,6,0.00070993314611326043,0.064225285285046299
79.02147268736907,1421595.625,1490799.0,nan,1822332.25,1169747.625,nan,1287863.0,1283433.5,1165771.375,nan,1307558.25,1366099.75,1327999.625,nan,nan,nan,nan,nan,1113523.75,nan,nan,nan,9,0.00071728898244015034,0.060835071823205251
306.2554618173984,422354.65625,431025.75,nan,455118.03125,nan,440639.3125,436213.90625,425611.21875,325791.625,185171.609375,395605.75,364224.3125,nan,nan,nan,nan,nan,182261.09375,208788.671875,nan,nan,nan,3,0.00099962271794169408,0.079793413426286999
404.2200098980612,1592478.875,1653340.875,563296.4375,1049032.625,783149.0625,2040166.625,558675.125,388618.8125,1371763.5,794061.0625,547568.625,488802.1875,287620.78125,242763.0,480533.03125,nan,nan,nan,695220.125,nan,nan,nan,7,0.0010063125561375302,0.075864785482146022
145.12248396356281,nan,nan,nan,nan,nan,nan,nan,nan,2895113.25,nan,nan,nan,nan,nan,2401062.25,3911614.25,3230459.25,2806670.75,nan,1393495.0,1894184.625,2015071.5,3,0.0010817012620476501,0.07725624276835058
328.17935362585155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245366.0625,nan,nan,246667.84375,nan,335921.4375,281376.84375,310611.4375,0,0.0011823675988456438,0.080223641581676927
404.23615222109225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200843.03125,191612.015625,153602.9375,nan,nan,136285.234375,124044.09375,3,0.001415656981861662,0.091478405923155967
131.00176972749756,nan,286801.09375,nan,nan,nan,nan,nan,nan,nan,354395.65625,695376.4375,290608.84375,nan,nan,212309.484375,569059.1875,439470.25,904484.9375,350010.0625,1411116.0,1364627.125,1267876.625,1,0.0014720639596862255,0.090799581513373084
85.51008736806277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,147653.375,226296.8125,nan,260388.921875,292961.625,272973.53125,0,0.0015488884577449958,0.091384419006954751
327.17588552552877,nan,nan,nan,nan,nan,nan,583960.625,nan,nan,nan,nan,nan,nan,668095.4375,1239575.875,488726.5625,690605.625,1076985.625,nan,1434863.375,nan,nan,2,0.001830093819774973,0.10347655472644328
258.0286347444263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,764634.6875,112207.7109375,224656.234375,202973.171875,nan,224899.484375,219619.46875,211307.125,0,0.0021135788888372816,0.11472506208608765
377.2091481159859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86495.6953125,nan,nan,104073.078125,nan,76106.453125,148062.84375,66780.34375,0,0.0022079376515517176,0.1152373612752185
348.9902687881293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74105.7421875,92984.4609375,340493.40625,nan,399254.09375,545777.75,345092.1875,3,0.0022797320687678001,0.11457764508584833
326.18102828009904,nan,532558.1875,2499291.75,606336.0625,2018139.375,676756.25,1522557.25,1395913.5,670409.0,665718.9375,1382911.625,691197.625,215567.328125,1423350.75,3262208.75,1094929.375,1735755.5,2534877.0,811434.6875,3269548.0,3441628.75,3054680.25,9,0.0023239409672720186,0.11262813902100462
169.12245757774002,770013.375,724205.875,428176.4375,693447.75,457736.78125,600138.125,566027.5,575555.1875,540979.375,nan,589435.375,596428.625,559904.125,nan,343631.875,431334.5,414316.5,340616.59375,572058.4375,nan,nan,nan,10,0.0023768073463740565,0.11121819203550326
356.2798317188387,277944.53125,302907.78125,245076.71875,263808.65625,nan,338818.46875,363755.5625,315916.0625,230186.859375,162570.9375,328668.125,258796.078125,199246.171875,nan,143127.046875,189219.59375,171070.875,161482.90625,184991.515625,138716.421875,nan,112367.4765625,10,0.0024613044025100102,0.11133300247353613
325.1776807853495,3836429.25,3054328.0,14026555.0,3686459.25,11856531.0,3705241.5,8822247.0,8732950.0,3875689.75,3814488.75,6421509.5,3997513.25,1099156.875,7244986.5,18621800.0,6655779.0,9486069.0,14340903.0,4670177.5,20492432.0,20415314.0,18554182.0,11,0.0026574615850621531,0.11632823777191426
190.1439443080825,131894.390625,114059.953125,145718.0,94914.5390625,nan,154464.75,120173.2890625,nan,155287.25,nan,nan,nan,73083.5859375,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,0.0027908728607075636,0.11835045224938012
243.09934515879692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100469.4921875,nan,45919.66796875,113702.5234375,nan,171387.5,nan,139207.46875,0,0.0030571626419524022,0.12571423348877001
462.1468919694274,577606.25,562545.4375,397891.78125,566813.6875,488332.625,505607.78125,584349.3125,469719.46875,471418.5,nan,501602.0625,438428.0625,nan,nan,nan,427063.0,286380.625,224314.171875,nan,166749.671875,239577.734375,194928.515625,5,0.0035723378638664828,0.14257830827255344
234.1338697314916,527776.375,661758.125,347206.3125,537277.75,448235.25,1099326.5,1101746.125,833517.5625,399013.125,265120.875,738988.4375,694733.8125,585178.6875,nan,205823.15625,519223.40625,375466.71875,320238.75,308669.03125,317903.5625,321214.875,479703.28125,9,0.0038817595141582483,0.15050136173464979
305.12820789070025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154573.515625,321160.40625,nan,nan,641826.0625,636588.625,625105.625,0,0.0040582662200965127,0.15297409057419353
241.06840015731282,nan,nan,nan,nan,nan,nan,300936.0625,nan,nan,nan,nan,nan,96507.15625,nan,nan,178265.109375,225948.703125,489301.65625,nan,867258.6875,848485.1875,722109.5625,2,0.0041293121242634515,0.15144531223312174
237.14622701027685,nan,nan,nan,184857.03125,nan,nan,307059.84375,nan,nan,nan,nan,226272.5,123017.3125,nan,221908.125,197005.125,nan,661711.125,173117.921875,1078476.375,1125672.75,828087.0,2,0.0046107901241880913,0.16465374206640104
123.11702807626466,902947.75,879814.1875,596209.375,838292.5,603680.25,752321.5,694398.0625,743257.25,634567.5625,883584.9375,785016.375,786427.8125,759971.1875,499860.21875,615597.3125,744681.0,705877.5625,624192.6875,801638.0,283268.71875,397283.25,487572.8125,9,0.0046963322569622476,0.1634082787871223
