mz,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
286.1287329741182,nan,237976.0,190759.765625,nan,nan,nan,nan,nan,266819.25,439199.40625,149851.109375,71265.015625,218995.828125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0058009758865849173,0.15662634893779276
164.04249032338308,nan,301295.25,229284.359375,nan,nan,nan,nan,nan,257102.140625,882931.875,168156.640625,91034.703125,227362.96875,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0058107987550184564,0.15276284095430101
298.1862090918044,133060.078125,88864.6640625,53239.66796875,27588.87890625,nan,61553.109375,nan,nan,97177.375,nan,nan,nan,214893.359375,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.0058118593930577755,0.14887301368371073
282.90529185024275,258232.421875,344114.03125,234746.671875,111779.78125,270381.125,411423.34375,nan,nan,1257185.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.0058144101245115824,0.14521489285967676
321.0737243422642,nan,1636525.0,600928.8125,nan,nan,218374.546875,nan,nan,nan,7488833.5,1381394.875,562442.8125,2566100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005857262930597614,0.14271721140651261
223.06388725481509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,186332.25,216869.421875,194876.84375,nan,nan,201355.859375,nan,7,0.0059764158944397051,0.14215332091774441
163.13312912589709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,354432.28125,nan,nan,238187.171875,323470.875,341170.96875,nan,nan,nan,8,0.0059777889269843777,0.13887932879203238
271.2633828143581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81338.9140625,nan,80180.0546875,110465.1796875,nan,nan,nan,49306.52734375,nan,5,0.0059822359838419383,0.13582394881495674
344.1048564438347,1895272.875,4838433.0,1029869.4375,25394.021484375,2474549.75,1303547.375,8819.076171875,729322.1875,2735083.0,1030576.6875,nan,nan,nan,nan,89463.453125,nan,nan,nan,269491.8125,nan,nan,nan,0,0.0073956023136545132,0.16418237136313019
212.14945579274584,568386.25,221673.328125,418087.0625,133288.84375,70277.203125,390895.9375,nan,nan,285924.4375,235429.15625,82197.875,91462.0390625,778606.125,nan,89087.3828125,nan,nan,145307.296875,nan,9942.78515625,nan,nan,5,0.0078136875085382529,0.16969290915281987
315.1440133713574,368022.96875,366533.1875,255388.015625,171201.75,381139.375,86506.28125,nan,109645.109375,358217.1875,226652.5,181933.09375,92813.953125,191791.71875,220254.40625,nan,69637.1171875,77424.6953125,nan,160336.5625,nan,nan,nan,8,0.0090847905294402943,0.19310012210448624
434.24488714597624,514376.84375,442519.875,192639.390625,265643.1875,666267.625,172524.953125,nan,158423.828125,447008.71875,171827.953125,172865.15625,nan,nan,339911.875,nan,nan,nan,nan,172761.609375,nan,nan,nan,6,0.0092211292714633308,0.1919147529623306
289.2289820435216,248097.71875,257411.328125,187511.015625,177754.46875,226119.859375,240770.0625,nan,194008.125,209975.1875,169233.96875,192733.078125,154273.84375,146979.375,160326.734375,nan,147344.828125,157238.203125,135101.546875,nan,nan,nan,nan,9,0.010197533711760408,0.20790481996017646
172.09348406754637,nan,nan,nan,nan,nan,473515.40625,nan,105876.171875,nan,137735.421875,nan,nan,nan,92963.890625,186620.296875,81446.4296875,106189.5078125,161722.875,106983.6953125,nan,175533.515625,nan,2,0.010681668150930095,0.21341972965558331
140.53903453526766,nan,nan,nan,nan,nan,nan,nan,nan,nan,286775.3125,nan,nan,nan,188172.6875,156366.359375,nan,90538.3125,93986.6640625,237341.015625,nan,nan,nan,5,0.012478200982443075,0.24442593689138495
177.0547917754836,1830684.75,8671316.0,1241372.75,1606401.875,1439467.5,nan,nan,929291.9375,2013467.125,nan,nan,nan,728265.6875,nan,nan,nan,164449.71875,nan,nan,nan,nan,nan,2,0.013365599054724474,0.25677372030134132
261.05262287066137,158022.421875,1134396.625,120166.65625,464798.0,73712.078125,nan,nan,140918.203125,153089.765625,375701.46875,nan,nan,nan,73836.8125,nan,nan,nan,nan,nan,nan,nan,nan,0,0.014970879935419016,0.28218696331101123
590.4631224977378,65503.70703125,47224.52734375,83502.78125,34721.2109375,58436.1875,44545.89453125,nan,nan,67707.078125,nan,35805.83984375,nan,nan,23026.177734375,nan,nan,nan,nan,nan,nan,nan,nan,4,0.015242191255159286,0.28198053822044683
173.117471172609,372216.28125,361439.625,298521.21875,281991.15625,356441.375,nan,nan,nan,373206.78125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.015428235278026892,0.28023285532270664
331.340121908505,86718.015625,93870.3359375,81449.2578125,67876.390625,96240.71875,nan,nan,nan,91056.5390625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.015428657968638296,0.27523623769052963
220.93473465663226,444322.8125,283488.84375,316262.96875,472523.46875,278696.40625,nan,nan,nan,604765.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.01543814157846716,0.27057374450681915
74.06029770282927,175155.8125,74675.9921875,149317.109375,151289.015625,140707.765625,nan,nan,nan,102672.234375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.015439138548519868,0.26592585189605772
238.1651287687016,126397.0625,110999.3203125,78718.609375,58683.8203125,118721.5,nan,nan,nan,133398.34375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.015439962420910443,0.26143258404219544
202.14398753539703,169112.75,215244.34375,111738.96875,96168.921875,187153.71875,nan,nan,nan,213294.53125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.01544109202814002,0.25709418226853137
301.14774903002944,nan,488652.78125,311060.625,nan,nan,nan,nan,nan,504372.4375,692390.3125,284120.78125,148788.765625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.015461241771935131,0.25320951688792126
307.0579804248536,nan,209113.375,191427.015625,nan,nan,nan,nan,nan,133830.1875,683916.0625,150461.0,nan,276082.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.015468462979169085,0.24924184703532123
252.8826488942173,145618.3125,194916.09375,437199.3125,70758.015625,92919.265625,nan,nan,nan,107807.1953125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.015479473432165774,0.24546022156720013
630.3194506855268,29216.330078125,159020.96875,nan,30587.033203125,29700.166015625,nan,nan,nan,62816.06640625,25373.865234375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.01549732491080184,0.24190355602954747
246.9440730669476,32330.05078125,99684.46875,41649.21875,nan,93710.046875,145610.421875,nan,nan,293018.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.015512420654193075,0.2384139728236751
322.0769935969639,nan,226963.375,85961.8125,nan,nan,nan,nan,nan,141251.46875,1095269.5,281002.34375,nan,401294.84375,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.015519193100399706,0.23490415011059557
224.10008676067653,nan,1086255.375,28251.880859375,nan,nan,164508.171875,nan,130595.5390625,nan,nan,73037.5703125,nan,93807.140625,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.015613043896323363,0.2327974754093588
178.05836681850133,231307.34375,1016033.5625,188549.078125,175684.84375,156188.1875,151002.875,nan,133402.15625,261180.515625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115362.328125,0,0.015629805802170212,0.22962023524070649
196.97353786522305,216125.0625,nan,128813.625,596340.875,81848.3515625,151546.828125,nan,157699.09375,nan,nan,106028.765625,114518.625,nan,86171.75,nan,nan,nan,nan,nan,nan,nan,nan,4,0.01570312557565998,0.22735394855194666
79.01811607573103,nan,nan,nan,nan,nan,4285125.0,nan,nan,nan,1150054.75,nan,nan,nan,nan,1503115.5,nan,nan,1365146.125,1214294.5,20360.35546875,1333194.0,701401.125,1,0.015838581792803688,0.22603918872872691
218.1833828042871,257273.46875,239460.453125,203624.984375,187178.125,240471.84375,nan,nan,nan,236786.59375,111801.015625,nan,nan,181774.390625,134161.578125,nan,nan,nan,nan,nan,nan,nan,nan,7,0.016009188573265411,0.22525604767172036
134.11778634011583,nan,752081.6875,nan,102282.828125,33917.515625,547477.9375,nan,nan,nan,161570.828125,453532.3125,133460.90625,1384991.375,nan,nan,nan,nan,nan,nan,nan,nan,1066234.5,2,0.019607556942390442,0.27205485257566742
387.19345504085067,1509856.75,1730660.125,702997.5,664664.25,1583962.375,1005433.0625,4851.32763671875,224124.078125,1804969.25,598905.5625,696157.8125,195948.96875,419491.28125,1533566.75,261441.9375,69957.4296875,nan,312465.75,642316.6875,nan,nan,501366.21875,8,0.022084736284413663,0.30222810339903083
593.1581875778845,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28957.416015625,31599.8046875,32096.71484375,nan,nan,nan,nan,3,0.024594474851622836,0.33202541049690826
447.11751622313363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85560.3515625,114277.46875,92738.984375,nan,nan,nan,nan,5,0.024596735040495948,0.32762851073940608
179.02292601954193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116442.359375,nan,nan,nan,116030.15625,nan,153014.6875,nan,0,0.024597009258958615,0.32332121381183759
265.1799902285981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59522.65234375,74673.0390625,nan,nan,nan,82219.671875,nan,3,0.024597444850199237,0.31912788838115635
163.07551528912472,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,457674.0,317005.40625,313176.6875,nan,nan,nan,nan,2,0.024599045455846763,0.315057005261422
301.13512786450457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128101.21875,nan,nan,75329.59375,97504.7578125,nan,nan,nan,nan,1,0.024602487741397731,0.31111247156527005
