mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
90.52610441324644,773828.0,951666.4375,726889.5625,292828.25,662266.875,1784827.625,3042646.25,837609.4375,675910.375,361923.0,703701.6875,750455.25,16263476.0,1523898.0,1036531.5625,1276390.0,1348969.25,1659452.5,1553452.75,1371027.75,1374303.625,0.016594804430116808,8749.862068965518
273.1061554301925,nan,nan,nan,nan,nan,nan,338150.53125,nan,nan,223451.65625,nan,215407.53125,nan,nan,nan,106185.15625,98818.2265625,nan,nan,nan,nan,0.017176105810090086,8601.559322033898
74.97559308279239,1145865.375,1748648.0,1577858.5,501321.9375,1544943.75,3695360.25,6975680.0,2094902.125,1251349.375,655520.3125,1120063.375,1467351.0,29795856.0,3248804.75,2467153.5,2584529.5,2543719.5,2435292.75,2846692.0,2894575.25,3334594.25,0.017506216379834749,8458.2
129.12761480185537,1597003.875,1720386.25,1160372.125,1677980.875,nan,1590928.25,1561406.625,1374392.25,nan,1731991.5,1746456.0,1862789.375,925948.1875,1205687.25,1353201.25,1589337.75,1778233.625,1673673.375,916146.5625,986434.9375,1133251.375,0.01861682618227449,8319.540983606557
255.13586823348837,465088.59375,437245.1875,1598885.5,612249.9375,1409997.75,999122.75,1013715.875,444573.3125,737046.0625,548498.375,170093.296875,401418.78125,777833.125,1620529.375,1517606.0,1002142.8125,739709.9375,458783.84375,2046962.0,2138773.5,2040972.0,0.019561950119855068,8185.354838709677
120.08098387920806,nan,nan,222416.140625,nan,nan,nan,nan,83226.6171875,nan,nan,nan,nan,nan,nan,373363.3125,nan,nan,nan,925121.6875,932341.0,745315.625,0.020733440889060515,8055.428571428572
300.20186592667335,nan,33603120.0,nan,4751546.5,3062256.5,2294340.75,1669707.875,4845311.5,nan,nan,2071419.875,nan,49075284.0,385720.5625,182105.15625,127363.2890625,165913.25,2241077.75,321729.3125,240708.75,171230.359375,0.020927666057093536,7929.5625
90.02846741967869,369948.25,501686.65625,404261.25,151535.34375,381990.25,nan,nan,644001.375,nan,nan,nan,nan,13512090.0,941776.25,nan,nan,nan,nan,nan,nan,nan,0.02114695253534336,7807.569230769231
215.1643306463524,1324381.625,1339936.75,nan,1200276.875,nan,1065607.125,1170420.5,895012.3125,1197262.125,1238806.0,1162212.875,1107087.75,547132.5625,nan,801298.125,1019466.5625,1136908.5,1062179.375,nan,nan,nan,0.021491848267607444,7689.272727272727
152.11528958031573,203545.5,210749.5,nan,187219.109375,nan,nan,nan,131244.828125,nan,nan,115739.5390625,168636.625,nan,106502.5625,nan,nan,82834.953125,121917.0,nan,nan,nan,0.0220397878401285,7574.507462686567
134.11778513894882,nan,124421.0,628056.4375,nan,392550.90625,nan,135375.203125,151232.78125,328890.28125,163027.109375,133668.078125,143422.125,nan,nan,nan,nan,nan,nan,808215.125,565757.5625,nan,0.023780517237956239,7463.117647058823
174.14905867625055,128184.125,112709.1171875,nan,nan,nan,nan,148843.46875,122501.578125,nan,87180.2109375,nan,nan,nan,105626.2734375,197416.75,156533.734375,300964.0625,nan,742950.875,541705.875,295395.75,0.024499939533051053,7354.95652173913
146.99668946834683,234828.21875,603830.125,756359.8125,310576.15625,1034434.875,3597797.5,7062602.5,813049.625,1605387.625,651865.5625,557123.125,1272834.25,5359531.0,641147.5,3594614.25,1797447.375,1900282.25,1259441.5,3574885.5,3266989.0,3602425.75,0.024675711627442417,7249.885714285714
329.0053031787816,670306.5,713291.25,510710.90625,645231.0625,2944492.5,786770.0,843872.5,1053526.875,872444.625,793957.625,614413.125,598141.4375,211752.6875,373159.03125,711459.125,732142.5,805731.5625,552913.3125,426975.78125,552298.1875,530077.25,0.024779663887355079,7147.774647887324
247.0165741372587,nan,nan,189966.25,nan,nan,nan,167756.28125,nan,103604.21875,nan,nan,nan,nan,nan,254062.671875,nan,nan,nan,456286.25,579151.5,259986.28125,0.027121495802325573,7048.5
145.122511190621,3101006.0,3421458.25,2239217.75,3551142.0,2454832.75,3155911.75,3204612.75,2895113.25,3227575.25,3582666.0,3538112.75,3908462.5,1539016.375,2401062.25,2806670.75,3230459.25,3911614.25,3510844.25,1393495.0,1894184.625,2015071.5,0.02745281606687271,6951.945205479452
