mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
348.9902687881293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74105.7421875,92984.4609375,340493.40625,nan,399254.09375,545777.75,345092.1875,nan,44509.8671875,nan,nan,nan,nan,nan,nan,160452.109375,3,6.301340321932814e-05,0.0057055772369500749
202.0711236978032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2502300.75,323215.65625,457080.9375,119832.5078125,112466.0078125,nan,nan,nan,nan,2035645.375,nan,nan,226637.59375,265572.03125,nan,nan,nan,0,6.4051078595755081e-05,0.0055473803722932234
150.02686617118857,609302.375,1509537.25,450148.78125,396125.0625,nan,nan,nan,nan,186342.921875,308487.71875,253394.640625,nan,160639.25,292607.4375,1016950.25,210876.921875,252831.171875,277439.90625,nan,nan,209024.28125,308406.4375,296271.90625,144184.921875,nan,nan,nan,nan,nan,nan,nan,140094.21875,nan,nan,nan,100886.703125,nan,nan,nan,nan,nan,nan,nan,nan,5,0.00011887349964705113,0.0098665004707052441
177.0547917754836,4580599.5,13330060.0,2676196.5,2868347.75,1693730.375,nan,nan,nan,nan,1127230.25,nan,nan,526692.8125,1830684.75,8671316.0,1241372.75,1606401.875,1439467.5,nan,nan,929291.9375,2013467.125,nan,nan,nan,728265.6875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,164449.71875,nan,nan,nan,nan,nan,2,0.00013757979485372321,0.010962358053944665
350.06361930521655,95131.0703125,139347.828125,1023868.8125,346232.875,458021.625,nan,nan,148226.859375,144094.15625,171205.421875,126662.5546875,87979.3359375,nan,69812.90625,110708.921875,27269.744140625,113841.0234375,nan,nan,nan,nan,nan,160159.359375,nan,nan,nan,nan,nan,nan,nan,nan,37424.58984375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015868822312573342,0.012157959248710038
145.12248396356281,nan,nan,nan,nan,nan,nan,nan,nan,2895113.25,nan,nan,nan,nan,nan,nan,nan,8403.78515625,4428297.5,nan,nan,nan,4240383.5,nan,nan,nan,nan,nan,2401062.25,3911614.25,3230459.25,2806670.75,nan,1393495.0,1894184.625,2015071.5,4013545.0,3216487.5,nan,nan,3488071.0,nan,nan,3642157.5,1069158.875,3,0.00016092177729430082,0.011872451124823971
286.1287329741182,653511.25,272316.5,402081.21875,nan,nan,nan,nan,nan,173928.8125,466519.75,502116.3125,nan,nan,nan,237976.0,190759.765625,nan,nan,nan,nan,nan,266819.25,439199.40625,149851.109375,71265.015625,218995.828125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00016344985606569701,0.011628289760102445
300.14440977232005,11755236.0,nan,4307942.0,nan,nan,nan,nan,nan,nan,3805851.5,5605963.5,945982.8125,nan,nan,3363364.0,1741856.0,nan,634580.0625,nan,nan,293462.6875,2605451.5,4360649.0,1667518.25,808460.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00016655954312097985,0.011440917582654893
322.0769935969639,1577649.875,492558.46875,3771669.5,nan,nan,nan,nan,nan,635371.8125,931115.25,1361456.75,178580.5625,nan,nan,226963.375,85961.8125,nan,nan,nan,nan,nan,141251.46875,1095269.5,281002.34375,nan,401294.84375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00016836943066406647,0.011179730196094013
327.17588552552877,nan,nan,nan,nan,nan,nan,583960.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124359.6796875,nan,668095.4375,1239575.875,488726.5625,690605.625,1076985.625,nan,1434863.375,nan,nan,383926.96875,901649.3125,nan,266468.15625,nan,nan,nan,nan,819501.5,2,0.00016976209138676321,0.010908583420723624
