mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
79.02147268736907,1421595.625,1490799.0,nan,1822332.25,1169747.625,nan,1287863.0,1283433.5,1165771.375,nan,1307558.25,1366099.75,1327999.625,1690307.75,1644511.375,1492735.375,1703224.0,1876982.0,1438249.125,nan,1490111.875,1651353.5,nan,1420607.875,1253964.625,1252009.5,nan,nan,nan,nan,nan,1113523.75,nan,nan,nan,1116271.0,nan,1090073.75,1154889.625,nan,1053935.25,nan,nan,nan,9,1.3205058659738581e-05,0.0019699546600573646
244.19094204215375,306743.9375,194338.265625,145074.84375,218026.875,nan,182951.59375,132242.75,131757.265625,203393.828125,81794.8203125,nan,78336.484375,90888.0,280666.4375,258683.46875,214972.125,203428.21875,267151.78125,122971.921875,nan,79672.078125,264285.3125,80806.2734375,80884.3046875,54153.83203125,138693.015625,nan,77260.1171875,78473.9765625,nan,nan,66318.53125,nan,nan,nan,68304.640625,123952.3203125,nan,65742.1015625,47145.29296875,68901.3515625,nan,41604.85546875,20950.95703125,9,1.7060695212694568e-05,0.002333050070335982
305.2517145977813,6520055.0,6167096.5,4211506.0,5928390.0,nan,6454056.5,6105551.5,5267949.5,4464430.5,2600243.0,5177081.5,5019098.0,4521845.0,7105738.5,6856412.5,6260753.5,5550915.5,6547316.0,5589468.0,nan,5540509.0,6737572.0,2397458.25,4754008.0,3109589.5,4446521.5,1198175.25,1946670.0,4408195.5,3285852.5,2291635.25,2938153.75,1735656.0,2161888.25,2274917.75,2947862.25,2056720.25,2624857.25,4279778.0,3139150.5,2414005.75,nan,3875446.5,1122267.25,10,1.9531859683742006e-05,0.0024655216723862027
328.0816026655655,3067812.25,2349066.0,1977519.125,1978455.875,1006347.8125,313866.0,225874.65625,324800.9375,1048241.3125,1313375.875,459583.0,355868.1875,280761.71875,1375784.75,3529078.25,740912.125,879333.5,1826582.625,907917.5625,23798.005859375,549004.0625,1918819.375,1038083.375,229098.75,95236.25,379570.0,nan,nan,nan,nan,nan,248460.359375,nan,nan,nan,nan,nan,nan,nan,nan,280004.78125,nan,nan,nan,0,2.2814406504716223e-05,0.0026741743624456656
356.2798317188387,277944.53125,302907.78125,245076.71875,263808.65625,nan,338818.46875,363755.5625,315916.0625,230186.859375,162570.9375,328668.125,258796.078125,199246.171875,297961.40625,288110.65625,266402.6875,215413.09375,249513.34375,346479.53125,nan,244133.4375,242019.265625,142410.125,260360.171875,152838.015625,262330.96875,nan,143127.046875,189219.59375,171070.875,161482.90625,184991.515625,138716.421875,nan,112367.4765625,154234.625,115507.4609375,143797.765625,210962.4375,223199.96875,145049.1875,nan,nan,nan,10,2.7639174615078874e-05,0.0030237257028896286
304.2483222860743,35774972.0,34675808.0,23007250.0,33726448.0,nan,38435340.0,36146272.0,32059944.0,26581440.0,15346473.0,31967696.0,31051364.0,27159078.0,41418076.0,39787056.0,36486348.0,31560346.0,38393236.0,33588228.0,25485.28515625,32637618.0,39617916.0,13949314.0,29277700.0,18996836.0,26396024.0,6190255.5,10402896.0,26780292.0,21449902.0,13659476.0,17893824.0,10737906.0,13579607.0,14269900.0,17956878.0,11483996.0,16675494.0,24526614.0,19704472.0,14230843.0,16317.5576171875,23800624.0,6044405.5,11,3.0931027539905604e-05,0.0031723635120615686
306.2555187877184,422354.65625,431025.75,nan,455118.03125,nan,440639.3125,436213.90625,425611.21875,325791.625,185171.609375,395605.75,364224.3125,nan,530541.8125,513175.4375,418375.25,441975.625,510405.875,456932.0,nan,323933.40625,454458.65625,nan,298171.6875,nan,281632.03125,nan,nan,nan,nan,182261.09375,208788.671875,nan,nan,nan,230225.96875,nan,167493.828125,263936.90625,nan,246764.859375,nan,226467.28125,nan,7,4.4240023832545085e-05,0.0042704634770121463
327.0782204558983,15768527.0,12155329.0,10377396.0,10480297.0,4821550.5,1250302.5,952620.8125,1735259.625,5381159.0,6771492.0,2025942.5,1777983.375,1467735.875,7046240.0,19788730.0,3774149.0,4611427.5,9292460.0,4679614.5,115277.0234375,2762001.75,10412258.0,5244415.0,1283781.125,nan,1620470.375,nan,nan,nan,nan,nan,1127778.75,nan,nan,nan,nan,nan,nan,nan,nan,1217257.625,nan,nan,nan,0,4.5892877943763777e-05,0.0041839007058731316
536.1656486356411,201615.125,220586.890625,174950.828125,213471.40625,nan,192502.75,186064.453125,194216.21875,140349.4375,102072.484375,181038.1875,171818.0,116307.5859375,238670.5,221501.6875,189186.15625,152409.515625,190723.703125,223510.109375,nan,175882.375,203617.96875,102429.625,176373.9375,116560.0,163791.859375,nan,81895.7578125,180765.96875,118787.3203125,134822.9375,114659.3359375,nan,nan,nan,110835.8828125,44971.51171875,105878.4375,156316.203125,123215.703125,100998.8203125,nan,120484.5625,26705.658203125,10,4.7601867661711299e-05,0.0041112981490983285
251.04689244160886,968627.875,1272848.75,1080517.25,465561.8125,315481.625,190754.984375,205943.328125,218942.328125,562840.8125,581907.125,nan,396810.65625,490532.5625,478303.75,953021.8125,1433783.0,604121.25,564410.125,451323.09375,nan,409875.1875,1323388.0,404536.25,458956.65625,258601.421875,318717.78125,nan,168633.296875,179389.796875,192604.34375,171552.046875,287390.96875,nan,127078.171875,129770.65625,249572.84375,225096.15625,200481.15625,221605.046875,204492.203125,nan,nan,212924.8125,48795.984375,10,8.333429389112724e-05,0.00683757881376699
305.1281140004943,nan,nan,nan,nan,nan,nan,311764.90625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,618050.5,189947.0,321160.40625,444750.0625,nan,641826.0625,636588.625,625105.625,147467.953125,400795.0625,nan,nan,nan,nan,nan,nan,356349.09375,1,8.4273359788727116e-05,0.0065853611149191043
404.2200098980612,1592478.875,1653340.875,563296.4375,1049032.625,783149.0625,2040166.625,558675.125,388618.8125,1371763.5,794061.0625,547568.625,488802.1875,287620.78125,1966230.625,2129543.5,843102.625,801741.6875,1955019.125,948513.0,8885.62109375,238239.390625,1912702.0,518541.3125,661504.0,188906.078125,411236.46875,242763.0,480533.03125,nan,nan,nan,695220.125,nan,nan,nan,1317404.375,nan,nan,nan,266714.15625,547215.6875,nan,nan,331695.21875,7,9.0185649090586555e-05,0.0067270295526205698
